id_panier,id_client
1,4
2,5
3,8
4,11
5,15
6,20
7,21
8,22
9,25
10,29
11,31
12,35
13,37
14,41
15,46
16,47
17,48
18,49
19,51
20,52
21,58
22,59
23,61
24,64
25,65
26,69
27,71
28,72
29,78
30,80
31,81
32,85
33,86
34,89
35,91
36,92
37,105
38,106
39,107
40,110
41,112
42,113
43,114
44,117
45,118
46,119
47,121
48,122
49,123
50,124
51,126
52,128
53,132
54,135
55,137
56,138
57,144
58,148
59,149
60,150
61,154
62,155
63,158
64,159
65,160
66,161
67,170
68,174
69,176
70,177
71,179
72,183
73,185
74,186
75,188
76,193
77,194
78,196
79,197
80,198
81,200
82,203
83,204
84,207
85,211
86,213
87,214
88,4
89,9
90,14
91,25
92,27
93,31
94,34
95,35
96,37
97,40
98,44
99,47
100,52
101,55
102,57
103,58
104,59
105,60
106,65
107,66
108,70
109,74
110,76
111,77
112,80
113,86
114,87
115,95
116,99
117,106
118,110
119,111
120,113
121,116
122,117
123,122
124,125
125,127
126,133
127,140
128,149
129,150
130,151
131,153
132,154
133,158
134,160
135,161
136,162
137,165
138,166
139,170
140,173
141,174
142,175
143,177
144,178
145,179
146,180
147,184
148,187
149,193
150,197
151,199
152,201
153,205
154,206
155,208
156,210
157,213
158,214
159,221
160,224
161,226
162,227
163,229
164,234
165,236
166,238
167,244
168,245
169,251
170,253
171,254
172,255
173,262
174,264
175,1
176,2
177,11
178,12
179,17
180,24
181,26
182,27
183,30
184,32
185,39
186,48
187,49
188,50
189,51
190,54
191,56
192,57
193,59
194,61
195,62
196,65
197,66
198,67
199,68
200,70
201,72
202,74
203,77
204,79
205,82
206,84
207,86
208,91
209,92
210,93
211,95
212,96
213,99
214,100
215,101
216,102
217,103
218,105
219,108
220,109
221,113
222,117
223,119
224,121
225,125
226,128
227,129
228,134
229,137
230,138
231,143
232,144
233,151
234,154
235,161
236,164
237,167
238,170
239,173
240,174
241,176
242,180
243,181
244,182
245,185
246,192
247,196
248,201
249,203
250,205
251,208
252,210
253,211
254,214
255,215
256,217
257,218
258,223
259,224
260,228
261,229
262,1
263,4
264,10
265,11
266,14
267,15
268,17
269,19
270,20
271,21
272,22
273,24
274,26
275,30
276,31
277,33
278,37
279,38
280,42
281,44
282,48
283,50
284,58
285,64
286,65
287,67
288,70
289,72
290,75
291,82
292,85
293,92
294,102
295,103
296,105
297,107
298,108
299,109
300,110
301,111
302,112
303,113
304,115
305,116
306,117
307,120
308,121
309,122
310,127
311,129
312,130
313,132
314,134
315,138
316,141
317,145
318,146
319,147
320,151
321,154
322,158
323,159
324,161
325,163
326,166
327,168
328,171
329,173
330,175
331,178
332,179
333,181
334,183
335,189
336,190
337,191
338,193
339,194
340,198
341,207
342,208
343,209
344,213
345,216
346,217
347,220
348,223
349,2
350,3
351,4
352,5
353,7
354,11
355,14
356,17
357,18
358,24
359,26
360,29
361,30
362,31
363,32
364,34
365,36
366,37
367,39
368,40
369,41
370,43
371,44
372,45
373,49
374,50
375,53
376,55
377,57
378,59
379,66
380,68
381,69
382,73
383,78
384,80
385,81
386,85
387,86
388,88
389,89
390,91
391,94
392,97
393,99
394,100
395,105
396,108
397,114
398,117
399,119
400,120
401,127
402,128
403,130
404,134
405,135
406,137
407,138
408,141
409,143
410,144
411,145
412,146
413,150
414,152
415,155
416,159
417,162
418,171
419,172
420,173
421,178
422,186
423,196
424,198
425,199
426,200
427,201
428,205
429,206
430,207
431,208
432,209
433,211
434,214
435,216
436,3
437,7
438,8
439,9
440,11
441,13
442,19
443,23
444,25
445,30
446,31
447,33
448,37
449,40
450,41
451,42
452,45
453,47
454,48
455,49
456,51
457,53
458,56
459,57
460,59
461,61
462,62
463,66
464,76
465,78
466,79
467,80
468,82
469,83
470,86
471,89
472,90
473,93
474,96
475,98
476,100
477,105
478,107
479,110
480,111
481,112
482,113
483,114
484,115
485,116
486,117
487,121
488,122
489,123
490,124
491,128
492,131
493,134
494,136
495,137
496,139
497,144
498,148
499,156
500,161
501,163
502,168
503,170
504,172
505,174
506,177
507,179
508,180
509,181
510,183
511,188
512,189
513,193
514,196
515,197
516,203
517,207
518,208
519,209
520,212
521,216
522,217
523,2
524,4
525,6
526,11
527,12
528,15
529,18
530,25
531,26
532,28
533,29
534,30
535,31
536,33
537,35
538,36
539,42
540,43
541,46
542,49
543,50
544,55
545,57
546,61
547,65
548,66
549,67
550,68
551,70
552,72
553,74
554,76
555,77
556,80
557,81
558,84
559,85
560,87
561,90
562,91
563,92
564,94
565,95
566,97
567,99
568,100
569,101
570,102
571,104
572,105
573,107
574,113
575,115
576,118
577,119
578,120
579,121
580,122
581,123
582,124
583,126
584,127
585,131
586,142
587,143
588,144
589,145
590,148
591,150
592,151
593,153
594,156
595,157
596,162
597,165
598,166
599,171
600,173
601,174
602,179
603,181
604,182
605,183
606,186
607,188
608,189
609,190
610,1
611,6
612,7
613,9
614,12
615,14
616,21
617,24
618,26
619,27
620,29
621,30
622,31
623,32
624,33
625,38
626,39
627,43
628,45
629,49
630,51
631,52
632,54
633,57
634,58
635,59
636,60
637,61
638,62
639,64
640,66
641,71
642,72
643,76
644,81
645,82
646,83
647,84
648,85
649,88
650,89
651,91
652,92
653,94
654,95
655,97
656,105
657,107
658,108
659,109
660,110
661,115
662,119
663,125
664,127
665,128
666,133
667,134
668,137
669,142
670,144
671,146
672,147
673,148
674,152
675,153
676,155
677,157
678,158
679,159
680,160
681,162
682,163
683,166
684,170
685,173
686,179
687,181
688,190
689,191
690,206
691,207
692,210
693,211
694,212
695,214
696,215
697,218
698,221
699,222
700,224
